Emote,Usage,Month Added,Current Month,Days,Usage/Day
:edwardu:,1128,Nov 2020,Feb 2021,92,12.26
:kek:,1744,Aug 2020,Feb 2021,184,9.48
:killme:,368,Dec 2020,Feb 2021,62,5.94
:pepewoah:,364,Nov 2020,Feb 2021,92,3.96
:mekill: ,197,Dec 2020,Feb 2021,62,3.18
:oh:,881,Apr 2020,Feb 2021,306,2.88
:OWIEHGIO:,84,Jan 2021,Feb 2021,31,2.71
:pepega:,138,Dec 2020,Feb 2021,62,2.23
:resigned:,130,Dec 2020,Feb 2021,62,2.10
:smug:,683,Feb 2020,Feb 2021,366,1.87
:rart:,240,Sep 2020,Feb 2021,153,1.57
:karCHAMP:,395,Apr 2020,Feb 2021,306,1.29
:penclown:,153,Oct 2020,Feb 2021,123,1.24
:weirdchamp:,228,Aug 2020,Feb 2021,184,1.24
:cryy:,38,Jan 2021,Feb 2021,31,1.23
:lookingaway:,35,Jan 2021,Feb 2021,31,1.13
:coochio:,103,Nov 2020,Feb 2021,92,1.12
:moe:,199,Aug 2020,Feb 2021,184,1.08
:penbread:,85,Nov 2020,Feb 2021,92,0.92
:thinkeyes:,83,Nov 2020,Feb 2021,92,0.90
:killmepls:,48,Dec 2020,Feb 2021,62,0.77
:kms:,45,Dec 2020,Feb 2021,62,0.73
:trilobite:,66,Nov 2020,Feb 2021,92,0.72
:ratto:,44,Dec 2020,Feb 2021,62,0.71
:wehyamero:,171,Jun 2020,Feb 2021,245,0.70
:openstare:,17,Jan 2021,Feb 2021,31,0.55
:spray:,49,Nov 2020,Feb 2021,92,0.53
:opensob:,49,Nov 2020,Feb 2021,92,0.53
:peepo:,30,Dec 2020,Feb 2021,62,0.48
:edwardie:,29,Dec 2020,Feb 2021,62,0.47
:hell:,504,Feb 2018,Feb 2021,1096,0.46
:smuh:,67,Sep 2020,Feb 2021,153,0.44
:killmenow:,39,Nov 2020,Feb 2021,92,0.42
:questioning:,26,Dec 2020,Feb 2021,62,0.42
:feelspepe:,24,Dec 2020,Feb 2021,62,0.39
:sobglasses:,35,Nov 2020,Feb 2021,92,0.38
:penrat:,92,Jun 2020,Feb 2021,245,0.38
:wheeze:,178,Oct 2019,Feb 2021,489,0.36
:believeit:,22,Dec 2020,Feb 2021,62,0.35
:ugh:,21,Dec 2020,Feb 2021,62,0.34
:fack:,132,Jan 2020,Feb 2021,397,0.33
:rhand:,20,Dec 2020,Feb 2021,62,0.32
:lhand:,20,Dec 2020,Feb 2021,62,0.32
:rowlet:,116,Jan 2020,Feb 2021,397,0.29
:comfy:,53,Aug 2020,Feb 2021,184,0.29
:ferry~1:,23,Nov 2020,Feb 2021,92,0.25
:discomfort:,219,Jun 2018,Feb 2021,976,0.22
:penhug:,20,Nov 2020,Feb 2021,92,0.22
:eh:,115,Jul 2019,Feb 2021,581,0.20
:blep:,36,Aug 2020,Feb 2021,184,0.20
:dennis_irl2:,71,Jan 2020,Feb 2021,397,0.18
:iambecomedeath:,196,Feb 2018,Feb 2021,1096,0.18
:wellthen:,183,Apr 2018,Feb 2021,1037,0.18
:goofy:,143,Oct 2018,Feb 2021,854,0.17
:benotafraid:,10,Dec 2020,Feb 2021,62,0.16
:tatsudon:,29,Aug 2020,Feb 2021,184,0.16
:believent:,9,Dec 2020,Feb 2021,62,0.15
:stonks:,9,Dec 2020,Feb 2021,62,0.15
:scree:,9,Dec 2020,Feb 2021,62,0.15
:respects:,9,Dec 2020,Feb 2021,62,0.15
:pepehands:,114,Dec 2018,Feb 2021,793,0.14
:yeasthaw:,12,Nov 2020,Feb 2021,92,0.13
:vore:,63,Oct 2019,Feb 2021,489,0.13
:weh:,118,Jul 2018,Feb 2021,946,0.12
:megathink:,139,Jan 2018,Feb 2021,1127,0.12
:odder:,7,Dec 2020,Feb 2021,62,0.11
:cactuar:,7,Dec 2020,Feb 2021,62,0.11
:sike:,70,May 2019,Feb 2021,642,0.11
:ohoho:,10,Nov 2020,Feb 2021,92,0.11
:blobthumb:,3,Jan 2021,Feb 2021,31,0.10
:yeet:,38,Dec 2019,Feb 2021,428,0.09
:flooshed:,8,Nov 2020,Feb 2021,92,0.09
:zoomeyes:,84,Jun 2018,Feb 2021,976,0.09
:ohno:,12,Sep 2020,Feb 2021,153,0.08
:kfc:,38,Oct 2019,Feb 2021,489,0.08
:dennis_irl1:,30,Jan 2020,Feb 2021,397,0.08
:neil:,77,Apr 2018,Feb 2021,1037,0.07
:burningelmo:,77,Mar 2018,Feb 2021,1068,0.07
:soraka:,11,Sep 2020,Feb 2021,153,0.07
:pika:,57,Dec 2018,Feb 2021,793,0.07
:baba:,12,Aug 2020,Feb 2021,184,0.07
:lunch:,31,Oct 2019,Feb 2021,489,0.06
:sour:,52,Sep 2018,Feb 2021,884,0.06
:saske:,47,Sep 2018,Feb 2021,884,0.05
:mathlady:,47,May 2018,Feb 2021,1007,0.05
:keanu:,36,Apr 2018,Feb 2021,1037,0.03
:huh:,35,Mar 2018,Feb 2021,1068,0.03
:lamon:,20,Sep 2018,Feb 2021,884,0.02
:betterbelieveit:,2,Sep 2020,Feb 2021,153,0.01
:doubt:,9,Apr 2018,Feb 2021,1037,0.01
